10/11/24 11:19:27: main.scss - `global/base/reset` file not found for @import: main.scss on line 13, at column 1
10/11/24 2:15:51: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:53: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:16:21: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:16:45: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:16:53: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:22:29: main.scss - parse error: failed at `width: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 14, at column 7
10/11/24 2:22:34: main.scss - parse error: failed at `width: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 14, at column 7
10/11/24 2:22:45: main.scss - parse error: failed at `width: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 14, at column 7
10/11/24 2:22:51: main.scss - parse error: failed at `width: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 14, at column 7
10/11/24 2:23:16: main.scss - parse error: failed at `width: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 14, at column 7
10/11/24 2:23:28: main.scss - parse error: failed at `width: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 14, at column 7
10/11/24 2:23:34: main.scss - parse error: failed at `width: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 14, at column 7
10/11/24 2:23:34: main.scss - parse error: failed at `width: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 14, at column 7
10/11/24 2:26:37: main.scss - parse error: failed at `border: 1px solid ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 18, at column 7
10/11/24 2:29:38: main.scss - parse error: failed at `font-size: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 29, at column 9
10/11/24 2:29:54: main.scss - parse error: failed at `font-size: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 29, at column 9
10/14/24 10:48:45: main.scss - parse error: failed at `width: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/get-started.scss on line 3, at column 5
10/14/24 10:49:11: main.scss - parse error: failed at `width: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/get-started.scss on line 3, at column 5
10/14/24 1:55:30: main.scss - parse error: failed at `width: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/hero.scss on line 158, at column 5
10/14/24 1:55:41: main.scss - parse error: failed at `width: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/hero.scss on line 158, at column 5
10/14/24 1:56:07: main.scss - parse error: failed at `width: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/hero.scss on line 158, at column 5
10/14/24 1:56:18: main.scss - parse error: failed at `width: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/hero.scss on line 158, at column 5
10/14/24 1:56:41: main.scss - parse error: failed at `width: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/hero.scss on line 161, at column 5
10/14/24 1:57:05: main.scss - parse error: failed at `width: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/hero.scss on line 161, at column 5
10/14/24 1:57:31: main.scss - parse error: failed at `width: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/hero.scss on line 161, at column 5
10/14/24 2:29:35: main.scss - parse error: failed at `padding-bottom: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/leadership-grid.scss on line 4, at column 5
10/14/24 2:29:40: main.scss - parse error: failed at `padding-bottom: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/leadership-grid.scss on line 4, at column 5
10/14/24 2:29:44: main.scss - parse error: failed at `padding-bottom: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/leadership-grid.scss on line 4, at column 5
10/14/24 2:29:45: main.scss - parse error: failed at `padding-bottom: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/leadership-grid.scss on line 4, at column 5
10/14/24 2:29:46: main.scss - parse error: failed at `padding-bottom: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/leadership-grid.scss on line 4, at column 5
10/15/24 8:12:06: main.scss - parse error: failed at `height: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/image-carousel.scss on line 20, at column 5
10/15/24 8:14:08: main.scss - parse error: failed at `height: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/image-carousel.scss on line 20, at column 5
10/15/24 10:40:22: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/image-gallery.scss on line 7, at column 5
10/15/24 12:59:37: main.scss - parse error: failed at `&__image ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/image-gallery.scss on line 28, at column 5
10/15/24 6:39:32: main.scss - Undefined variable $orange: global/components/form-elements.scss on line 40, at column 3
Call Stack:
#0 import global/components/form-elements.scss main.scss on line 30
10/15/24 6:39:58: main.scss - Undefined variable $orange: global/components/form-elements.scss on line 39, at column 3
Call Stack:
#0 import global/components/form-elements.scss main.scss on line 30
10/15/24 6:40:00: main.scss - Undefined variable $orange: global/components/form-elements.scss on line 39, at column 3
Call Stack:
#0 import global/components/form-elements.scss main.scss on line 30
10/15/24 6:40:02: main.scss - Undefined variable $orange: global/components/form-elements.scss on line 39, at column 3
Call Stack:
#0 import global/components/form-elements.scss main.scss on line 30
10/15/24 6:40:22: main.scss - Undefined variable $soft: global/components/form-elements.scss on line 63, at column 3
Call Stack:
#0 import global/components/form-elements.scss main.scss on line 30
10/15/24 6:41:59: main.scss - Undefined variable $soft: global/components/form-elements.scss on line 77, at column 3
Call Stack:
#0 import global/components/form-elements.scss main.scss on line 30
10/15/24 6:42:23: main.scss - Undefined variable $soft: global/components/form-elements.scss on line 77, at column 3
Call Stack:
#0 import global/components/form-elements.scss main.scss on line 30
10/16/24 4:19:02: main.scss - Undefined variable $orange: pages/search/general.scss on line 151, at column 7
Call Stack:
#0 import pages/search/general.scss main.scss on line 47
10/18/24 8:30:20: main.scss - parse error: failed at `b` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/story/featured-vas.scss on line 10, at column 7
10/18/24 8:31:20: main.scss - parse error: failed at `padding-bottom: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/story/featured-vas.scss on line 7, at column 5
10/18/24 9:56:13: main.scss - parse error: failed at `top: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/story/featured-vas.scss on line 21, at column 7
10/18/24 9:56:14: main.scss - parse error: failed at `top: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/story/featured-vas.scss on line 21, at column 7
10/18/24 9:56:15: main.scss - parse error: failed at `top: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/story/featured-vas.scss on line 21, at column 7
10/18/24 9:56:24: main.scss - parse error: failed at `top: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/story/featured-vas.scss on line 21, at column 7
10/18/24 9:57:50: main.scss - parse error: failed at `bottom: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/story/featured-vas.scss on line 27, at column 5
10/18/24 9:57:56: main.scss - parse error: failed at `bottom: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/story/featured-vas.scss on line 27, at column 5
10/18/24 3:42:10: main.scss - parse error: failed at `right: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/resources/general.scss on line 38, at column 9
10/18/24 3:42:18: main.scss - parse error: failed at `right: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/resources/general.scss on line 38, at column 9
10/18/24 3:42:19: main.scss - parse error: failed at `right: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/resources/general.scss on line 38, at column 9
10/18/24 3:51:09: main.scss - parse error: failed at `color: rgba(255,255,255,.75));` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/resources/general.scss on line 33, at column 7
10/18/24 3:51:10: main.scss - parse error: failed at `color: rgba(255,255,255,.75));` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/resources/general.scss on line 33, at column 7
10/21/24 10:05:03: main.scss - parse error: failed at `padding: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/header/header.scss on line 42, at column 7
10/21/24 12:37:41: main.scss - parse error: failed at `font-size: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/global/content/typography.scss on line 216, at column 5
10/21/24 1:52:06: main.scss - parse error: failed at `padding: 25rem` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/hero.scss on line 151, at column 5
10/21/24 1:56:56: main.scss - parse error: failed at `margin-bottom: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/global/content/typography.scss on line 216, at column 5
10/21/24 2:27:01: main.scss - parse error: failed at `p` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/introduction.scss on line 37, at column 5
10/21/24 2:28:59: main.scss - parse error: failed at `padding: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/introduction.scss on line 37, at column 5
10/21/24 2:29:02: main.scss - parse error: failed at `padding: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/introduction.scss on line 37, at column 5
10/21/24 3:34:09: main.scss - parse error: failed at `padding-right: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/accordion.scss on line 91, at column 9
10/21/24 3:44:14: main.scss - parse error: failed at `background: #;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/accordion.scss on line 111, at column 15
10/21/24 4:24:37: main.scss - parse error: failed at `margin-top: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/pricing.scss on line 98, at column 9
10/21/24 4:24:39: main.scss - parse error: failed at `margin-top: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/pricing.scss on line 98, at column 9
10/22/24 2:46:27: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/resources.scss on line 112, at column 3
10/22/24 2:46:45: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/resources.scss on line 112, at column 3
10/22/24 2:47:12: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/resources.scss on line 112, at column 3
10/22/24 2:47:47: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/resources.scss on line 112, at column 3
10/22/24 2:47:59: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/resources.scss on line 112, at column 3
10/23/24 8:05:17: main.scss - parse error: failed at `font-size: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/header/header.scss on line 374, at column 7
10/23/24 8:57:18: main.scss - parse error: failed at `border-right: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/header/header.scss on line 366, at column 5
10/23/24 11:24:19: main.scss - parse error: failed at `padding: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/image-text.scss on line 194, at column 5
10/23/24 11:25:19: main.scss - parse error: failed at `padding: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/image-text.scss on line 194, at column 5
10/23/24 11:26:19: main.scss - parse error: failed at `padding: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/image-text.scss on line 194, at column 5
10/23/24 11:27:19: main.scss - parse error: failed at `padding: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/image-text.scss on line 194, at column 5
10/23/24 11:28:19: main.scss - parse error: failed at `padding: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/image-text.scss on line 194, at column 5
10/23/24 11:28:37: main.scss - parse error: failed at `padding: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/image-text.scss on line 194, at column 5
10/23/24 11:29:19: main.scss - parse error: failed at `padding: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/image-text.scss on line 194, at column 5
10/23/24 11:29:36: main.scss - parse error: failed at `padding: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/image-text.scss on line 194, at column 5
10/23/24 3:10:05: main.scss - parse error: failed at `margin: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/medical-specialties/accordion.scss on line 34, at column 7
10/23/24 3:10:11: main.scss - parse error: failed at `margin: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/medical-specialties/accordion.scss on line 34, at column 7
10/23/24 3:10:14: main.scss - parse error: failed at `margin: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/medical-specialties/accordion.scss on line 34, at column 7
10/25/24 10:34:46: main.scss - unclosed block: failed at `` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/two-cards.scss on line 149, at column 0
10/25/24 11:08:42: main.scss - parse error: failed at `.hs-form-field ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/hero.scss on line 236, at column 3
10/25/24 11:08:45: main.scss - parse error: failed at `.hs-form-field ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/hero.scss on line 236, at column 3
10/25/24 11:08:46: main.scss - parse error: failed at `.hs-form-field ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/hero.scss on line 236, at column 3
10/25/24 11:08:51: main.scss - parse error: failed at `.hs-form-field ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/hero.scss on line 236, at column 3
10/25/24 11:26:32: main.scss - parse error: failed at `.form-columns-2 .hs-form-field Х` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/hero.scss on line 337, at column 3
10/25/24 11:36:59: main.scss - parse error: failed at `padding: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 71, at column 7
11/12/24 11:54:19: main.scss - parse error: failed at `+ ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/hero.scss on line 43, at column 3
11/13/24 12:06:28: main.scss - unexpected }: failed at `` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/anchor.scss on line 18, at column 0
11/13/24 12:06:29: main.scss - unexpected }: failed at `` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/anchor.scss on line 17, at column 0
11/13/24 6:38:52: main.scss - parse error: failed at `.image-text-module .image-text__item-left .card-section__slider: .card-section.slick-current .h4 {` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/image-text.scss on line 253, at column 3
12/13/24 1:34:43: main.scss - parse error: failed at `&.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/anchor.scss on line 89, at column 5
12/17/24 11:07:51: main.scss - parse error: failed at `font-size: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/image-text.scss on line 310, at column 5
